b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
22020096	22020096	7101564	7101828	14680064	33064	14170328	14680064	37380	37020	0	155126	98	
22020096	22020096	7101604	7101788	14680064	636	14202756	14680064	636	0	0	46785	0	
22020096	22020096	7101696	7101696	14680064	932	14202460	14680064	932	0	0	47106	0	
22020096	22020096	7101696	7101696	14680064	932	14202460	14680064	932	0	0	56999	0	
22020096	22020096	7101696	7101696	14680064	932	14202460	14680064	932	0	0	57270	0	
22020096	22020096	7101696	7101696	14680064	932	14202460	14680064	932	0	0	48181	0	
22020096	22020096	7101696	7101696	14680064	932	14202460	14680064	932	0	0	44894	0	
22020096	22020096	7101696	7101696	14680064	932	14202460	14680064	932	0	0	46205	0	
22020096	22020096	7101696	7101696	14680064	932	14202460	14680064	932	0	0	44157	0	
