b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
26738688	26738688	8623484	4	17825792	1785540	6837948	17825792	6927316	5432260	0	3228363	99	
26738688	26738688	8623480	8	17825792	4737156	3886332	17825792	5633200	1428400	0	2100026	95	
26738688	26738688	8623484	4	17825792	2693516	5929972	17825792	6600700	4242176	0	2495574	100	
26738688	26738688	8623488	0	17825792	4508832	4114656	17825792	6354496	2352332	0	2174162	99	
26738688	26738688	8623484	4	17825792	3141928	5481560	17825792	6718300	3975788	0	2553984	99	
26738688	26738688	8623480	8	17825792	724468	7899020	17825792	3248344	2659692	0	1735578	96	
26738688	26738688	8623456	32	17825792	4920988	3702500	17825792	4977720	582560	0	1912429	98	
26738688	26738688	8623488	0	17825792	2624936	5998552	17825792	6604568	4351920	0	2995918	99	
26738688	26738688	8623488	0	17825792	4230940	4392548	17825792	5899440	2188964	0	2089952	97	
26738688	26738688	4496304	4127184	17825792	0	8623488	17825792	3910164	3910164	0	19490372	105	
26738688	26738688	8623260	228	17825792	6465312	2158176	17825792	5889584	140128	0	1972374	0	
26738688	26738688	8623460	28	17825792	1564588	7058900	17825792	7016160	5736324	0	2329125	99	
26738688	26738688	8623476	12	17825792	2317076	6306412	17825792	3214800	1247768	0	1462564	97	
26738688	26738688	8623484	4	17825792	3808840	4814648	17825792	5303496	1958816	0	2023816	99	
26738688	26738688	8623412	76	17825792	3472192	5151296	17825792	6321416	3315760	0	2854370	99	
26738688	26738688	8623448	40	17825792	3677072	4946416	17825792	6195080	2942836	0	2001614	97	
26738688	26738688	8623484	4	17825792	3437232	5186256	17825792	6338160	3296300	0	2937626	101	
26738688	26738688	3634548	4988940	17825792	0	8623488	17825792	3197592	3197592	0	25852309	105	
26738688	26738688	8623480	8	17825792	6759168	1864320	17825792	6031272	0	0	2030115	0	
26738688	26738688	8623480	8	17825792	342244	8281244	17825792	6247244	6000456	0	2556106	99	
26738688	26738688	8623452	36	17825792	3351752	5271736	17825792	3177580	215132	0	1539895	87	
26738688	26738688	8623484	4	17825792	3777412	4846076	17825792	6238392	2934148	0	2167561	99	
26738688	26738688	8623412	76	17825792	3491556	5131932	17825792	6271920	3241096	0	2663725	98	
26738688	26738688	8623484	4	17825792	3633476	4990012	17825792	6252340	3076876	0	2244129	101	
26738688	26738688	8623236	252	17825792	4135680	4487808	17825792	6766964	3166732	0	2234851	99	
26738688	26738688	8623476	12	17825792	3304232	5319256	17825792	6472420	3584184	0	2717637	99	
26738688	26738688	3949164	4674324	17825792	0	8623488	17825792	3195744	3195744	0	2981016	110	
26738688	26738688	8621684	1804	17825792	3297772	5325716	17825792	2861660	0	0	1212145	0	
26738688	26738688	8623448	40	17825792	3831728	4791760	17825792	6169744	2842044	0	2171477	99	
26738688	26738688	8623480	8	17825792	3347320	5276168	17825792	6223948	3264032	0	2304618	98	
26738688	26738688	8623384	104	17825792	3762732	4860756	17825792	6301796	3006068	0	2216405	101	
26738688	26738688	8623428	60	17825792	3929972	4693516	17825792	6715344	3286252	0	2128877	99	
26738688	26738688	8623448	40	17825792	3690584	4932904	17825792	6654740	3417116	0	2056085	99	
26738688	26738688	8623468	20	17825792	579192	8044296	17825792	3618600	3220360	0	1999596	99	
26738688	26738688	8623424	64	17825792	5255768	3367720	17825792	5051956	398112	0	2071983	99	
26738688	26738688	8623476	12	17825792	2401604	6221884	17825792	6684604	4609708	0	3254743	99	
26738688	26738688	2532732	6090756	17825792	0	8623488	17825792	2176272	2176272	0	14168106	104	
26738688	26738688	8623448	40	17825792	5963636	2659852	17825792	5425624	140128	0	1644279	0	
26738688	26738688	8623464	24	17825792	2075748	6547740	17825792	7053064	5284492	0	2162776	99	
26738688	26738688	8623456	32	17825792	5206100	3417388	17825792	6377400	1756584	0	2089636	99	
26738688	26738688	8623468	20	17825792	715916	7907572	17825792	5142124	4575872	0	2327421	99	
26738688	26738688	8623472	16	17825792	3846896	4776592	17825792	3866276	533800	0	1710010	94	
26738688	26738688	8623472	16	17825792	3399000	5224488	17825792	6294336	3302420	0	2505577	99	
26738688	26738688	8623412	76	17825792	3807256	4816232	17825792	6216324	2927644	0	2929243	97	
26738688	26738688	4135456	4488032	17825792	0	8623488	17825792	3555768	3555768	0	18525197	108	
26738688	26738688	8623456	32	17825792	6284656	2338832	17825792	5770440	140128	0	1940503	0	
26738688	26738688	8623360	128	17825792	1443864	7179624	17825792	6820704	5623560	0	2235094	99	
26738688	26738688	8623480	8	17825792	3298056	5325432	17825792	4040884	1177872	0	1786848	98	
26738688	26738688	8623464	24	17825792	2653784	5969704	17825792	5164292	2829704	0	2299834	98	
26738688	26738688	8623480	8	17825792	4259292	4364196	17825792	6036824	2315376	0	2105860	99	
26738688	26738688	8623468	20	17825792	3159432	5464056	17825792	6359192	3658388	0	2934849	98	
26738688	26738688	8623484	4	17825792	3870936	4752552	17825792	6165240	2746364	0	2197743	101	
26738688	26738688	4437796	4185692	17825792	0	8623488	17825792	3871116	3871116	0	20812835	113	
26738688	26738688	8623464	24	17825792	6733948	1889540	17825792	5970996	0	0	2040563	0	
26738688	26738688	8623476	12	17825792	701592	7921896	17825792	6499820	5950964	0	2400325	99	
26738688	26738688	8623484	4	17825792	2837752	5785736	17825792	2920080	511572	0	1398407	93	
26738688	26738688	8623436	52	17825792	4105832	4517656	17825792	6010716	2389204	0	2628625	99	
26738688	26738688	8623472	16	17825792	3216220	5407268	17825792	6338380	3557412	0	2656314	98	
26738688	26738688	8623452	36	17825792	3877124	4746364	17825792	6213208	2826912	0	2517264	101	
26738688	26738688	8621792	1696	17825792	3777072	4846416	17825792	6692120	3375088	0	2171137	99	
26738688	26738688	8623388	100	17825792	3937152	4686336	17825792	6753372	3308076	0	2515145	99	
26738688	26738688	4483988	4139500	17825792	0	8623488	17825792	3681952	3681952	0	3034747	106	
26738688	26738688	8623472	16	17825792	2832624	5790864	17825792	2457196	0	0	1029674	0	
26738688	26738688	8623464	24	17825792	4121336	4502152	17825792	6066188	2438444	0	2442509	99	
26738688	26738688	8623460	28	17825792	3219856	5403632	17825792	6332932	3564320	0	2637997	98	
26738688	26738688	8623480	8	17825792	3831832	4791656	17825792	6201052	2814252	0	2500671	101	
26738688	26738688	8623484	4	17825792	3804924	4818564	17825792	6684524	3375560	0	2306561	99	
26738688	26738688	8623404	84	17825792	3905248	4718240	17825792	6714904	3302144	0	2233681	99	
26738688	26738688	8623460	28	17825792	707944	7915544	17825792	3959168	3399212	0	2318494	99	
26738688	26738688	8623408	80	17825792	4689472	3934016	17825792	4723232	549740	0	2146317	98	
26738688	26738688	8623356	132	17825792	2879712	5743776	17825792	6586432	4130252	0	3324170	98	
26738688	26738688	8623476	12	17825792	4342624	4280864	17825792	6209344	2393504	0	3352518	97	
26738688	26738688	4358352	4265136	17825792	0	8623488	17825792	3823980	3823980	0	20384504	100	
26738688	26738688	8623276	212	17825792	6541960	2081528	17825792	5948896	140128	0	1939366	0	
26738688	26738688	8623176	312	17825792	1309596	7313892	17825792	6900020	5803092	0	2123491	99	
26738688	26738688	8623488	0	17825792	2557964	6065524	17825792	3269428	1067476	0	1545812	97	
26738688	26738688	8623484	4	17825792	3822104	4801384	17825792	5542984	2194572	0	2265754	99	
26738688	26738688	8623484	4	17825792	3418952	5204536	17825792	6316740	3318284	0	2992741	99	
26738688	26738688	8623348	140	17825792	3723680	4899808	17825792	6221748	2935116	0	2233655	97	
26738688	26738688	8623460	28	17825792	3466332	5157156	17825792	6343448	3331004	0	2086947	101	
26738688	26738688	7220460	1403028	17825792	0	8623488	17825792	5792808	5792808	0	3048115	192	
26738688	26738688	8623488	0	17825792	4118576	4504912	17825792	3668652	0	0	1502822	0	
26738688	26738688	8623468	20	17825792	1845684	6777804	17825792	5216776	3623992	0	2490868	98	
26738688	26738688	8623488	0	17825792	4786640	3836848	17825792	5831008	1579940	0	2127344	99	
26738688	26738688	8623484	4	17825792	2713420	5910068	17825792	6544412	4187536	0	2603003	98	
26738688	26738688	8623472	16	17825792	4223592	4399896	17825792	6104740	2402260	0	1881099	101	
26738688	26738688	8623480	8	17825792	3488716	5134772	17825792	6758132	3689676	0	2664200	99	
26738688	26738688	8623484	4	17825792	4161680	4461808	17825792	6759940	3061836	0	2318524	99	
26738688	26738688	8623488	0	17825792	523844	8099644	17825792	4060024	3684228	0	2226469	99	
26738688	26738688	8623476	12	17825792	4975824	3647664	17825792	4776660	367232	0	2122883	97	
26738688	26738688	7326440	1297048	17825792	0	8623488	17825792	5818604	5818604	0	13466700	131	
26738688	26738688	8623380	108	17825792	5892724	2730764	17825792	5406884	140128	0	1995012	0	
26738688	26738688	8623364	124	17825792	1988560	6634928	17825792	6963876	5264708	0	2789986	99	
26738688	26738688	8623408	80	17825792	5016140	3607348	17825792	6146696	1695120	0	2020971	99	
26738688	26738688	8623484	4	17825792	1948744	6674744	17825792	6077840	4418912	0	2464561	99	
26738688	26738688	8623488	0	17825792	2334416	6289072	17825792	3608656	1590744	0	1722712	95	
26738688	26738688	8623412	76	17825792	4501244	4122244	17825792	5952104	1998004	0	2038358	99	
26738688	26738688	8623428	60	17825792	2918912	5704576	17825792	6426868	3890676	0	3030065	98	
26738688	26738688	3115656	5507832	17825792	0	8623488	17825792	2691120	2691120	0	17495278	106	
26738688	26738688	8623468	20	17825792	6165384	2458104	17825792	5611484	140128	0	1936420	0	
26738688	26738688	8623372	116	17825792	2130548	6492940	17825792	7290300	5451184	0	2391451	99	
26738688	26738688	8623456	32	17825792	3879088	4744400	17825792	5242288	1821016	0	1906589	99	
26738688	26738688	8623356	132	17825792	894628	7728860	17825792	4089628	3341184	0	1893714	97	
26738688	26738688	8623476	12	17825792	5509044	3114444	17825792	5623872	745448	0	1948315	99	
26738688	26738688	8623488	0	17825792	2180364	6443124	17825792	6748308	4875516	0	2455184	99	
26738688	26738688	8623472	16	17825792	4482836	4140652	17825792	5980528	2011144	0	2593467	107	
26738688	26738688	4810900	3812588	17825792	0	8623488	17825792	4234744	4234744	0	23505467	106	
26738688	26738688	8623272	216	17825792	6256604	2366884	17825792	5595160	0	0	1860909	0	
26738688	26738688	8623348	140	17825792	2098336	6525152	17825792	7379336	5581536	0	2611827	99	
26738688	26738688	8623392	96	17825792	1281352	7342136	17825792	2804344	1737688	0	1370614	96	
26738688	26738688	8623484	4	17825792	5218068	3405420	17825792	5699944	1062112	0	2373879	99	
26738688	26738688	8623380	108	17825792	2381944	6241544	17825792	6684280	4635012	0	2579329	99	
26738688	26738688	8623444	44	17825792	4361156	4262332	17825792	6030716	2185904	0	2539637	106	
26738688	26738688	8623464	24	17825792	3223092	5400396	17825792	6651720	3842224	0	2464358	99	
26738688	26738688	8623360	128	17825792	4368276	4255212	17825792	6614348	2795220	0	2851427	99	
26738688	26738688	5024956	3598532	17825792	0	8623488	17825792	3900200	3900200	0	3973384	102	
26738688	26738688	8623452	36	17825792	2623152	6000336	17825792	2276196	0	0	1151678	0	
26738688	26738688	8623336	152	17825792	4369404	4254084	17825792	6041256	2263624	0	2018132	99	
26738688	26738688	8623452	36	17825792	3090940	5532548	17825792	6317204	3712880	0	2482266	98	
26738688	26738688	8623480	8	17825792	3962464	4661024	17825792	6120772	2649784	0	2025375	101	
26738688	26738688	8623444	44	17825792	3562680	5060808	17825792	6599676	3467628	0	2284499	99	
26738688	26738688	8623488	0	17825792	4003900	4619588	17825792	6676500	3127316	0	2251912	99	
26738688	26738688	8623440	48	17825792	1051040	7572448	17825792	4411596	3535772	0	2321356	99	
26738688	26738688	8623468	20	17825792	4270024	4353464	17825792	4706896	866224	0	1843988	98	
26738688	26738688	8623488	0	17825792	3193280	5430208	17825792	6526244	3798360	0	3004349	98	
26738688	26738688	8623416	72	17825792	3880516	4742972	17825792	6083340	2664832	0	3121337	97	
26738688	26738688	4208524	4414964	17825792	0	8623488	17825792	3670004	3670004	0	20213466	107	
26738688	26738688	8623416	72	17825792	6505088	2118400	17825792	5931816	140128	0	1744792	0	
26738688	26738688	8623464	24	17825792	1303776	7319712	17825792	6897460	5784748	0	2126355	99	
26738688	26738688	8623460	28	17825792	2610712	6012776	17825792	3347352	1084892	0	1471410	97	
26738688	26738688	8623476	12	17825792	3845280	4778208	17825792	5615684	2259660	0	2392904	99	
26738688	26738688	8623436	52	17825792	3354328	5269160	17825792	6310432	3326364	0	2646152	99	
26738688	26738688	8623480	8	17825792	3826732	4796756	17825792	6244484	2920488	0	2287585	97	
26738688	26738688	8623452	36	17825792	3399328	5224160	17825792	6316248	3368100	0	2484113	101	
26738688	26738688	6094000	2529488	17825792	0	8623488	17825792	4942420	4942420	0	2787208	167	
26738688	26738688	8623484	4	17825792	4983980	3639508	17825792	4389324	0	0	1801662	0	
26738688	26738688	8623380	108	17825792	710076	7913412	17825792	4845224	4327056	0	2403485	98	
26738688	26738688	8623424	64	17825792	5773132	2850356	17825792	5531436	514972	0	2164926	99	
26738688	26738688	8623456	32	17825792	1987348	6636140	17825792	6709816	5013284	0	2575363	99	
26738688	26738688	8623432	56	17825792	4694092	3929396	17825792	5935248	1836220	0	2274570	108	
26738688	26738688	8623436	52	17825792	2969016	5654472	17825792	6650484	4096448	0	2477517	99	
26738688	26738688	8623456	32	17825792	4529724	4093764	17825792	6542976	2542688	0	2247293	99	
26738688	26738688	8623468	20	17825792	1307396	7316092	17825792	5048908	3989020	0	2499306	99	
26738688	26738688	8623452	36	17825792	3602696	5020792	17825792	4236228	1036844	0	1735845	97	
26738688	26738688	3733808	4889680	17825792	0	8623488	17825792	3133936	3133936	0	7737785	97	
26738688	26738688	8623480	8	17825792	5977256	2646232	17825792	5296044	0	0	2052810	0	
26738688	26738688	8623472	16	17825792	1969728	6653760	17825792	6978856	5295196	0	2616401	99	
26738688	26738688	8622984	504	17825792	4913268	3710220	17825792	6128424	1820732	0	2101851	108	
26738688	26738688	8623364	124	17825792	2640176	5983312	17825792	6590664	4298044	0	2331700	99	
26738688	26738688	8623476	12	17825792	2747608	5875880	17825792	4641092	2268984	0	1999982	98	
26738688	26738688	8499688	123800	17825792	0	8623488	17825792	2114716	2114716	0	6946794	89	
26738688	26738688	8546640	76848	17825792	5962320	2661168	17825792	5272452	0	0	1923238	0	
